Features,VIF
const,4051.27
adStock_Online marketing,1083.29
adStock_ Affiliates,1025.84
adStock_Content Marketing,379.99
adStock_Other,226.3
adStock_Radio,192.49
adStock_Digital,177.23
adStock_Sponsorship,79.43
adStock_TV,61.49
CameraMount,16.34
Telescope,16.11
CameraMicrophone,13.38
CameraFilmRolls,10.88
product_procurement_sla,8.91
discount,6.94
CameraHousing,6.74
ReflectorUmbrella,5.64
ExtensionTube,5.56
sla,5.25
Softbox,4.51
CameraEyeCup,3.76
is_holiday,3.34
is_special_sale_day,1.94
FlashShoeAdapter,1.64
